service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
D1,1,0,0,0,0,0,0,20150101,20500101
D2,0,1,0,0,0,0,0,20150101,20500101
D3,0,0,1,0,0,0,0,20150101,20500101
D4,0,0,0,1,0,0,0,20150101,20500101
D5,0,0,0,0,1,0,0,20150101,20500101
D6,0,0,0,0,0,1,0,20150101,20500101
D7,0,0,0,0,0,0,1,20150101,20500101
N1,1,0,0,0,0,0,0,20150101,20500101
N2,0,1,0,0,0,0,0,20150101,20500101
N3,0,0,1,0,0,0,0,20150101,20500101
N4,0,0,0,1,0,0,0,20150101,20500101
N5,0,0,0,0,1,0,0,20150101,20500101
N6,0,0,0,0,0,1,0,20150101,20500101
N7,0,0,0,0,0,0,1,20150101,20500101
SB,0,0,0,0,0,1,0,20150101,20500101
TS,0,0,0,0,0,0,1,20150101,20500101
DP,1,1,1,1,1,0,0,20150101,20500101
NO,1,1,1,1,1,1,1,20150101,20500101
NP,0,0,0,0,1,1,0,20150101,20500101
NS,1,1,1,1,0,0,1,20150101,20500101
DS,0,0,0,0,0,1,1,20150101,20500101
